,Lineage_2b_subj-2_scrape-310_col-1,Lineage_2b_subj-2_scrape-310_col-2,Lineage_2b_subj-2_scrape-304_col-2,Lineage_2b_subj-2_scrape-309_col-4,Lineage_2b_subj-2_scrape-307_col-4,Lineage_2b_subj-2_scrape-308_col-5,Lineage_2b_subj-2_scrape-74_col-1,Lineage_2b_subj-2_scrape-74_col-3,Lineage_2b_subj-2_scrape-74_col-4,Lineage_2b_subj-2_multipore-83_col-3,Lineage_2b_subj-2_pore-78_col-3,Lineage_2b_subj-2_scrape-77_col-2,Lineage_2b_subj-2_scrape-76_col-1,Lineage_2b_subj-2_scrape-76_col-2,Lineage_5b_subj-5_scrape-404_col-3,Lineage_5b_subj-5_scrape-402_col-1,Lineage_5b_subj-5_scrape-402_col-2,Lineage_5b_subj-5_scrape-401_col-1,Lineage_5b_subj-5_scrape-401_col-3,Lineage_5b_subj-5_pore-394_col-1,Lineage_5b_subj-5_scrape-400_col-4,Lineage_5b_subj-5_pore-394_col-2,Lineage_5b_subj-5_pore-394_col-3,Lineage_5b_subj-5_pore-394_col-4,Lineage_8b_subj-8_pore-407_col-5,Lineage_8b_subj-8_pore-408_col-1,Lineage_8b_subj-8_pore-408_col-2,Lineage_8b_subj-8_pore-408_col-3,Lineage_8b_subj-8_pore-408_col-4,Lineage_8b_subj-8_pore-408_col-5,Lineage_8b_subj-8_pore-408_col-6,Lineage_8b_subj-8_pore-408_col-7,Lineage_8b_subj-8_pore-408_col-8,Lineage_14c_subj-14_scrape-59_col-2,Lineage_14c_subj-14_scrape-59_col-3,Lineage_14c_subj-14_scrape-60_col-1,Lineage_14c_subj-14_scrape-60_col-3,Lineage_12d_subj-12_scrape-350_col-3,Lineage_12d_subj-12_scrape-350_col-4,Lineage_12d_subj-12_scrape-350_col-5,Lineage_15b_subj-15_scrape-57_col-1,Lineage_15b_subj-15_scrape-57_col-2,Lineage_15b_subj-15_scrape-55_col-1,
Lineage_2b_subj-2_pore-78_col-3,4,5,23,20,20,32,16,18,5,26,0,7,4,7,500,777,779,776,784,653,786,775,773,747,414,413,420,419,363,364,420,419,421,371,373,261,362,453,455,453,697,611,235,
Lineage_2b_subj-2_scrape-77_col-2,7,9,25,24,25,36,21,23,9,31,7,0,9,12,498,775,776,773,781,651,783,773,770,745,412,411,418,417,361,362,418,417,419,373,376,265,365,452,453,451,696,611,234,
Lineage_2b_subj-2_scrape-76_col-1,6,7,25,20,22,34,18,20,7,28,4,9,0,0,498,773,775,772,780,649,782,771,769,743,412,411,418,417,361,362,418,417,419,370,372,263,362,450,452,450,693,610,233,
Lineage_2b_subj-2_scrape-76_col-2,9,10,27,22,25,37,21,23,10,31,7,12,0,0,505,782,784,781,789,658,791,780,778,752,419,418,425,424,368,369,425,424,426,376,378,265,366,458,460,458,702,617,240,
Lineage_5b_subj-5_scrape-404_col-3,451,433,389,396,503,453,498,502,469,506,500,498,498,505,0,4,4,3,4,2,10,2,2,4,444,443,451,450,344,364,450,451,451,458,460,317,447,485,486,483,100,79,26,
Lineage_5b_subj-5_scrape-402_col-1,709,684,607,629,780,716,773,778,735,781,777,775,773,782,4,0,4,5,4,4,12,4,4,6,721,720,728,727,620,640,727,728,728,734,736,521,721,761,763,760,164,141,106,
Lineage_5b_subj-5_scrape-402_col-2,710,687,608,630,782,718,775,780,737,784,779,776,775,784,4,4,0,5,4,4,12,4,4,6,723,722,730,729,623,643,729,730,730,736,738,525,723,763,765,762,164,140,106,
Lineage_5b_subj-5_scrape-401_col-1,708,683,606,628,779,716,773,777,735,781,776,773,772,781,3,5,5,0,5,3,11,3,3,5,720,719,727,726,619,639,726,727,727,733,735,522,720,760,762,759,163,139,104,
Lineage_5b_subj-5_scrape-401_col-3,715,689,611,634,787,723,780,785,741,788,784,781,780,789,4,4,4,5,0,4,12,4,4,6,729,728,736,735,628,648,735,736,736,741,743,524,728,769,771,768,165,141,108,
Lineage_5b_subj-5_pore-394_col-1,594,574,511,530,656,600,650,654,615,658,653,651,649,658,2,4,4,3,4,0,10,0,0,4,597,596,604,603,497,517,603,604,604,610,612,436,597,637,639,636,133,109,67,
Lineage_5b_subj-5_scrape-400_col-4,719,693,612,638,789,726,783,787,744,791,786,783,782,791,10,12,12,11,12,10,0,10,10,12,730,729,737,736,629,649,736,737,737,743,745,526,730,770,772,769,171,146,111,
Lineage_5b_subj-5_pore-394_col-2,707,682,604,628,777,715,771,776,732,780,775,773,771,780,2,4,4,3,4,0,10,0,0,4,720,719,727,726,619,639,726,727,727,732,734,518,719,760,762,759,162,137,102,
Lineage_5b_subj-5_pore-394_col-3,705,679,601,624,775,713,769,774,732,778,773,770,769,778,2,4,4,3,4,0,10,0,0,4,717,716,724,723,616,636,723,724,724,730,732,520,717,757,759,756,162,138,101,
Lineage_5b_subj-5_pore-394_col-4,682,657,583,601,750,691,744,748,707,752,747,745,743,752,4,6,6,5,6,4,12,4,4,0,692,691,699,698,591,611,698,699,699,704,706,505,691,732,734,731,158,134,95,
Lineage_8b_subj-8_pore-407_col-5,371,357,319,322,417,381,413,416,395,424,414,412,412,419,444,721,723,720,729,597,730,720,717,692,0,0,0,0,0,0,0,0,0,375,376,265,369,267,269,266,642,556,114,
Lineage_8b_subj-8_pore-408_col-1,369,357,320,320,416,381,412,415,394,423,413,411,411,418,443,720,722,719,728,596,729,719,716,691,0,0,0,0,0,0,0,0,0,374,375,266,368,266,268,265,640,553,113,
Lineage_8b_subj-8_pore-408_col-2,375,363,321,327,423,387,420,422,401,430,420,418,418,425,451,728,730,727,736,604,737,727,724,699,0,0,0,0,0,0,0,0,0,381,382,270,375,273,275,272,648,561,120,
Lineage_8b_subj-8_pore-408_col-3,374,362,320,327,422,386,419,421,400,429,419,417,417,424,450,727,729,726,735,603,736,726,723,698,0,0,0,0,0,0,0,0,0,380,381,269,374,273,275,272,647,561,120,
Lineage_8b_subj-8_pore-408_col-4,322,314,280,282,366,332,363,365,348,373,363,361,361,368,344,620,623,619,628,497,629,619,616,591,0,0,0,0,0,0,0,0,0,324,325,234,318,233,235,232,544,475,80,
Lineage_8b_subj-8_pore-408_col-5,322,316,282,285,367,332,364,366,349,374,364,362,362,369,364,640,643,639,648,517,649,639,636,611,0,0,0,0,0,0,0,0,0,325,326,233,319,233,235,232,562,487,80,
Lineage_8b_subj-8_pore-408_col-6,375,362,321,326,423,387,419,422,400,430,420,418,418,425,450,727,729,726,735,603,736,726,723,698,0,0,0,0,0,0,0,0,0,381,382,269,375,272,274,271,648,560,119,
Lineage_8b_subj-8_pore-408_col-7,374,361,320,326,422,386,418,421,399,429,419,417,417,424,451,728,730,727,736,604,737,727,724,699,0,0,0,0,0,0,0,0,0,380,381,268,374,272,274,271,649,561,119,
Lineage_8b_subj-8_pore-408_col-8,376,363,321,327,424,388,420,423,401,431,421,419,419,426,451,728,730,727,736,604,737,727,724,699,0,0,0,0,0,0,0,0,0,382,383,270,376,273,275,272,649,561,120,
Lineage_14c_subj-14_scrape-59_col-2,334,317,286,295,376,350,372,375,354,383,371,373,370,376,458,734,736,733,741,610,743,732,730,704,375,374,381,380,324,325,381,380,382,0,0,1,2,414,416,414,657,571,196,
Lineage_14c_subj-14_scrape-59_col-3,337,320,287,298,378,352,374,377,356,385,373,376,372,378,460,736,738,735,743,612,745,734,732,706,376,375,382,381,325,326,382,381,383,0,0,1,2,415,417,415,659,576,197,
Lineage_14c_subj-14_scrape-60_col-1,242,236,210,208,267,255,267,268,255,272,261,265,263,265,317,521,525,522,524,436,526,518,520,505,265,266,270,269,234,233,269,268,270,1,1,0,0,286,289,288,467,417,132,
Lineage_14c_subj-14_scrape-60_col-3,326,313,282,293,367,343,363,367,350,374,362,365,362,366,447,721,723,720,728,597,730,719,717,691,369,368,375,374,318,319,375,374,376,2,2,0,0,400,403,401,644,568,191,
Lineage_12d_subj-12_scrape-350_col-3,401,383,358,346,455,412,452,454,431,461,453,452,450,458,485,761,763,760,769,637,770,760,757,732,267,266,273,273,233,233,272,272,273,414,415,286,400,0,5,2,680,583,153,
Lineage_12d_subj-12_scrape-350_col-4,402,387,359,350,458,414,453,456,434,463,455,453,452,460,486,763,765,762,771,639,772,762,759,734,269,268,275,275,235,235,274,274,275,416,417,289,403,5,0,7,683,586,155,
Lineage_12d_subj-12_scrape-350_col-5,403,385,359,349,456,413,451,454,431,461,453,451,450,458,483,760,762,759,768,636,769,759,756,731,266,265,272,272,232,232,271,271,272,414,415,288,401,2,7,0,680,584,152,
Lineage_15b_subj-15_scrape-57_col-1,634,611,552,555,699,643,693,698,659,703,697,696,693,702,100,164,164,163,165,133,171,162,162,158,642,640,648,647,544,562,648,649,649,657,659,467,644,680,683,680,0,0,20,
Lineage_15b_subj-15_scrape-57_col-2,561,540,496,495,613,572,611,613,591,623,611,611,610,617,79,141,140,139,141,109,146,137,138,134,556,553,561,561,475,487,560,561,561,571,576,417,568,583,586,584,0,0,14,
Lineage_15b_subj-15_scrape-55_col-1,204,198,186,183,238,207,236,237,224,245,235,234,233,240,26,106,106,104,108,67,111,102,101,95,114,113,120,120,80,80,119,119,120,196,197,132,191,153,155,152,20,14,0,
